uid,status,symbol_id,side,entry_time,entry_size,entry_price,entry_price_scaled,entry_size_scaled, exit_time,exit_size,exit_price,exit_size_scaled,exit_price_scaled
31,2,0,2,1594,807,1584.000000,15842050,807,1595,807,1600.000000,807,16008050
37,2,0,1,1595,807,1600.000000,16008050,807,1619,807,1537.000000,807,15375680
190,2,0,2,1619,807,1537.000000,15375680,807,1634,807,1617.000000,807,16170480
57,2,0,1,1634,807,1617.000000,16170480,807,1664,807,1706.000000,807,17062050
76,2,0,2,1664,807,1706.000000,17062050,807,1668,807,1732.000000,807,17326880
106,2,0,1,1668,807,1732.000000,17326880,807,1687,807,1684.000000,807,16847580
240,2,0,2,1687,807,1684.000000,16847580,807,1699,807,1743.000000,807,17432680
236,2,0,1,1699,807,1743.000000,17432680,807,1753,807,1939.000000,807,19396180
100,2,0,2,1753,807,1939.000000,19396180,807,1769,807,1947.000000,807,19472880
199,2,0,1,1769,807,1947.000000,19472880,807,1771,807,1938.000000,807,19389280
213,2,0,2,1771,807,1938.000000,19389280,807,1778,807,1948.000000,807,19483480
106,2,0,1,1778,807,1948.000000,19483480,807,1780,807,1904.000000,807,19041380
205,2,0,2,1780,807,1904.000000,19041380,807,1800,807,1906.000000,807,19063080
12,2,0,1,1800,807,1906.000000,19063080,807,1811,807,1879.000000,807,18795150
90,2,0,2,1811,807,1879.000000,18795150,807,1824,807,1875.000000,807,18756680
221,2,0,1,1824,807,1875.000000,18756680,807,1829,807,1871.000000,807,18712450
252,2,0,2,1829,807,1871.000000,18712450,807,1852,807,1852.000000,807,18522550
133,2,0,1,1852,807,1852.000000,18522550,807,1878,807,1810.000000,807,18103250
70,2,0,2,1878,807,1810.000000,18103250,807,1935,807,1734.000000,807,17344980
31,2,0,1,1935,807,1734.000000,17344980,807,1944,807,1729.000000,807,17293080
43,2,0,2,1944,807,1729.000000,17293080,807,1952,807,1736.000000,807,17365380
238,2,0,1,1952,807,1736.000000,17365380,807,2005,807,1857.000000,807,18577850
150,2,0,2,2005,807,1857.000000,18577850,807,2029,807,1805.000000,807,18059480
57,2,0,1,2029,807,1805.000000,18059480,807,2047,807,1811.000000,807,18110580
